,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,Profile
565,Randy Ballintyn,53188901,54,66,44,5,3,4,3,2,2,73,25,76,5
566,Daniel Townsend,3516387,29,69,63,2,5,5,4,3,5,44,67,72,5
567,Leeanne Jordan,34109584,38,28,27,1,4,,3,4,5,68,73,73,2
568,Bonnie Brinkman,83795319,52,35,37,2,2,3,5,5,8,68,96,64,3
569,Bonnie Medina,66174437,27,43,53,0,6,4,2,3,1,49,53,36,2
570,Donna Skinner,94558625,85,24,0,1,6,1,0,0,1,47,52,42,0
571,Peter Morales,57302076,44,50,41,4,1,1,5,5,3,59,67,72,1
572,Dale Swanson,46214453,27,29,45,5,3,6,0,1,2,68,69,83,5
573,Louis Carpenter,38070920,59,44,23,7,2,5,2,5,2,66,36,63,5
574,Joy Kato,77874552,46,38,71,7,3,6,5,1,2,53,78,62,4
575,Michelle Mundell,13005478,70,40,50,4,5,3,6,8,3,41,52,50,5
576,Patricia Jones,47901337,40,39,63,4,3,6,0,1,1,65,30,54,5
577,Larry Pierce,26603202,17,60,58,1,7,4,6,5,2,90,82,67,2
578,Andrea Gardner,2777983,37,55,37,2,0,3,9,1,7,84,67,80,3
579,Patrick Peck,64176692,34,24,50,3,4,4,3,3,2,41,65,71,4
580,Michele Arbuckle,92673264,40,61,10,5,6,3,3,8,7,91,46,42,0
581,Marsha Darrin,57925743,40,80,23,3,9,6,6,3,0,76,66,35,2
582,Robert Tedder,92942356,29,13,57,3,5,1,2,11,0,83,60,81,1
583,Amanda Dekany,97855167,9,78,33,3,5,1,6,7,5,57,90,91,2
584,Jesse Tharpe,73092656,59,2,28,1,5,2,2,2,1,58,62,63,0
585,Melissa Herr,79909940,44,82,0,3,0,4,3,1,7,56,88,74,1
586,Dewey Bradshaw,96257474,73,58,31,2,1,6,2,4,7,68,87,54,3
587,Rita Byrne,87676286,48,80,29,5,5,3,0,9,4,81,35,35,0
588,Raymond Larsen,85502620,4,26,17,9,7,5,3,3,3,69,72,86,3
589,Jimmy Brown,21610989,33,69,5,5,1,4,0,5,2,64,50,55,1
590,Shannon Crawford,3776377,39,35,25,6,4,6,1,6,2,56,81,72,5
591,Albert Marquez,2010402,0,80,58,3,1,5,8,0,4,74,63,78,3
592,Iris Smith,71656034,44,57,44,3,3,3,4,6,1,67,57,76,1
593,Regina Silva,45001689,63,20,0,5,3,4,7,5,7,67,70,49,3
594,Clark Neal,21425001,53,19,45,3,4,2,2,6,3,58,79,67,2
595,Paula Rhodes,15873451,41,65,48,4,6,3,5,6,3,55,82,61,2
596,Helen Fisher,76411012,46,52,31,0,0,3,6,5,5,56,80,72,3
597,Allan Adkins,54534858,40,34,11,3,4,3,3,7,7,84,46,50,0
598,William Patterson,79155215,54,70,28,5,2,7,1,8,4,64,66,74,5
599,Patrick Harris,26868394,37,26,26,0,4,2,5,7,2,63,64,69,4
600,Randolph Weller,46052685,6,4,35,2,3,5,1,2,4,69,60,75,4
601,Robert Burch,58417714,45,28,22,3,6,4,3,5,2,48,70,54,2
602,Mickey Munoz,46266248,32,19,52,3,4,0,5,4,4,69,62,56,0
603,Rebecca Fala,66329441,36,56,33,5,4,4,4,4,3,58,48,56,4
604,Gloria Rubin,20411432,39,67,41,3,0,3,3,5,2,57,90,78,1
605,Jack Brooks,25206001,39,53,38,5,2,6,2,0,2,60,28,69,5
606,Sonja Vargas,88275225,15,38,13,2,7,4,3,5,3,55,80,56,2
607,Lucille Isbell,89405689,52,42,4,6,5,4,3,4,5,75,72,57,0
608,Angela Borum,2309384,3,50,22,1,9,3,4,4,3,51,80,51,2
609,Tracey Destefano,62821707,11,30,54,4,0,4,1,0,5,54,,68,4
610,Caroline Solanki,15649184,21,38,38,2,5,5,5,4,2,91,88,67,1
611,Jamison Peters,86317357,21,,32,0,2,3,0,8,0,,64,69,1
612,Evelyn Bessemer,11266040,36,0,42,4,1,2,6,5,3,72,64,71,0
613,David Thompson,88729016,41,44,24,4,3,4,1,7,4,83,41,53,0
614,Michael Baker,48562098,34,33,61,6,4,4,2,1,5,73,84,76,4
615,Mary Jackson,87168885,51,83,11,3,2,5,7,0,5,81,88,57,1
616,Samantha Herrera,15756896,57,15,4,1,5,3,6,7,2,88,89,91,4
617,Elizabeth Johnson,80512227,25,33,79,4,1,3,3,2,4,44,50,54,4
618,Eric Martinez,51794738,36,51,23,5,2,4,11,2,5,66,52,64,3
619,Laura Burger,10974300,61,52,39,2,1,3,4,6,4,59,76,79,3
620,Inez Nobel,8544566,0,18,52,4,3,7,0,0,4,41,75,79,4
621,Rita Driscoll,17255781,11,40,41,3,6,5,2,7,2,66,63,66,1
622,Gregory Diamond,86725848,0,22,55,0,6,4,0,5,4,,77,71,1
623,Flossie Boyd,49984108,0,15,30,0,8,7,1,7,0,100,65,57,1
624,Vincent Cahall,78851244,52,0,49,3,4,5,1,5,3,62,61,51,2
625,Todd Moody,36287154,30,54,55,3,4,0,3,6,4,56,73,87,2
626,Robert Garcia,36842534,45,13,9,4,1,4,0,7,1,77,51,63,0
627,Anna Rivera,74341221,65,74,0,8,3,5,9,7,3,48,68,77,5
628,Frances Jones,90527486,50,8,19,0,5,5,2,3,3,43,72,48,2
629,James White,48309070,19,78,50,4,2,4,4,2,0,61,67,88,3
630,Manuel Robinson,39996940,5,54,68,3,5,0,2,6,3,55,76,84,2
631,Racheal Quinn,81472792,29,76,46,4,6,3,6,5,3,75,70,71,2
632,Nicole Labianca,45317603,22,21,34,0,0,4,7,4,3,87,85,74,1
633,Edna Madigan,35324341,0,12,48,4,7,3,4,8,0,91,54,66,1
634,Christopher Moore,14472354,32,57,68,3,6,2,4,5,2,65,70,59,2
635,Samuel Necaise,16564052,0,1,31,0,7,8,3,4,4,97,87,70,1
636,Sonya Corlew,34804549,34,20,29,3,2,2,4,3,5,83,85,79,4
637,Pete Schuster,86985969,63,53,17,7,3,4,3,6,1,65,34,59,5
638,Janet Baber,33257209,49,65,20,4,6,4,2,7,5,88,52,46,0
639,Ramon Whiting,41730867,23,0,30,0,4,2,4,6,5,61,79,90,2
640,Christie Duckey,79522169,70,35,20,10,2,6,4,3,0,55,58,72,5
641,Pat Smith,60517210,56,40,50,4,5,5,3,5,3,61,81,45,2
642,Harold Allen,22302595,76,14,45,2,6,5,5,4,2,50,55,72,0
643,Walter Hastie,29811948,40,3,52,4,4,5,5,7,2,72,80,83,0
644,Carmen Clanton,52710878,0,92,57,5,3,4,4,5,5,74,74,67,2
645,Charles Swindle,1539545,32,69,47,2,5,4,6,5,2,80,58,79,2
646,Sharon Carter,63214368,30,74,40,5,5,7,2,5,2,54,81,63,5
647,Jasper Yan,63875515,0,91,77,4,1,5,5,8,7,63,55,66,2
648,Barbara Langham,51438625,2,58,21,5,6,8,6,1,10,68,78,54,3
649,William Garcia,60371163,20,14,41,1,4,9,4,5,2,75,89,74,4
650,William Jarvis,6467007,68,58,16,5,4,6,6,4,6,61,60,47,3
651,Edith Wright,52060012,12,101,62,5,5,2,6,7,4,72,84,74,2
652,Lashawn Aburto,58240070,15,51,17,2,3,4,2,5,3,78,76,69,1
653,Douglas Lynn,58343900,21,42,7,7,4,9,0,0,5,89,78,75,3
654,Gregory Sowell,75561285,29,104,53,4,5,8,1,2,4,51,70,51,3
655,Marquita Smith,11584014,68,57,53,4,7,1,3,4,0,68,66,64,2
656,Jesse Schell,58472295,43,14,18,6,2,7,2,4,4,48,82,77,5
657,Paul Massa,53428740,44,56,49,4,1,3,5,3,3,73,65,89,3
658,Sherry Morey,77820233,70,47,51,2,6,5,1,5,0,61,46,55,0
659,John Moorehead,22049419,49,52,5,7,2,7,1,5,1,70,74,73,5
660,Priscilla Catron,78334652,55,56,18,7,7,5,4,2,4,71,73,54,0
661,Brandon Tobey,30405338,8,39,71,4,1,2,5,4,7,88,91,100,3
662,Lamont Salazar,65636397,86,80,40,5,0,0,4,6,5,45,62,80,1
663,Eileen Epperson,71120129,59,43,52,5,5,7,1,3,1,52,67,58,5
664,Amy Richardson,33088749,17,65,24,5,4,5,5,0,1,62,70,71,3
665,Steven Olivarez,41410694,9,42,14,4,4,1,8,3,1,57,67,88,3
666,Randal Myatt,13773307,41,60,77,4,3,5,2,5,2,47,46,28,2
667,Carol Herzog,14305911,0,38,68,5,2,7,0,0,5,58,70,70,4
668,David Nein,80065430,0,77,52,3,5,2,6,5,5,83,82,95,2
669,Ardis Miller,41187439,0,56,58,3,3,3,2,6,4,73,77,71,2
670,Leah Taylor,34977427,31,39,40,0,7,1,5,7,1,51,68,70,2
671,Armando Wilkins,13175326,30,7,79,3,2,2,10,5,0,70,85,45,4
672,Anne Myers,21946690,17,6,36,3,2,10,4,3,1,80,100,81,4
673,Michael Taylor,82605229,17,77,31,3,4,3,5,8,2,72,66,64,5
674,Peter Salazar,84020110,24,15,46,4,1,8,3,2,3,69,75,74,4
675,Mark Wood,20782587,22,29,27,2,8,5,4,4,3,69,83,49,2
676,Fredrick Hegyi,45669493,30,57,24,2,5,1,3,5,5,40,87,77,2
677,Marlon Norman,35315429,22,40,0,1,1,1,0,5,3,86,62,46,0
678,Jon Byrant,82502365,18,14,15,0,3,7,2,4,2,66,67,80,4
679,Loretta Dunn,25681920,32,46,0,7,3,4,0,4,0,87,71,76,5
680,Ken Young,50572563,29,26,36,2,7,3,2,4,2,58,74,59,2
681,Jose Norton,63518746,52,55,18,5,4,5,4,3,5,68,64,67,3
682,Emily Theisen,22108921,6,41,58,4,5,3,1,5,4,51,78,44,2
683,Milton Ferguson,34986386,26,11,50,0,5,4,2,5,3,62,75,56,2
684,John Ness,2313388,74,43,33,4,8,0,2,2,0,70,93,,2
685,Michelle Matelski,39586835,9,27,42,3,7,4,3,5,6,67,71,79,1
686,Nicole Reynolds,51825736,65,86,61,4,2,5,3,6,6,47,63,76,3
687,Velma Thomas,66846382,59,34,53,6,2,8,2,0,6,41,65,97,5
688,Reynaldo Murray,8105364,15,21,3,1,4,1,6,0,2,78,100,73,3
689,Helen Clark,77832589,14,11,42,4,2,6,0,3,1,63,62,54,5
690,Sidney London,84038879,23,62,20,4,6,1,2,7,0,76,54,70,5
691,Kim Albaladejo,58019498,42,38,40,5,1,7,4,5,10,85,73,77,3
692,Brian Martin,36996255,9,14,45,4,2,7,0,3,3,34,78,86,4
693,Mary Mercuri,5629201,10,64,44,7,0,10,4,3,7,84,57,73,3
694,Anita Murphy,36012241,40,14,26,4,5,4,4,9,3,83,54,69,0
695,Charles Laigo,56027469,40,91,23,5,1,6,7,10,6,45,42,55,5
696,Richard Markus,17152526,39,41,33,2,7,3,3,7,4,76,75,61,0
697,Shirly Schiro,66395772,57,27,8,0,6,5,3,10,4,79,43,70,0
698,Debra Sanchez,80037848,63,22,16,4,2,1,5,3,2,74,78,89,3
699,Toni Harrington,23200815,30,25,77,4,1,5,0,1,4,31,69,82,4
700,Robert Biederman,15752255,28,22,48,2,4,6,1,3,3,65,81,87,4
701,Beth Manning,41482862,24,57,45,3,5,4,4,4,5,65,74,68,2
702,Dennis Chase,44994062,27,113,65,6,7,4,5,3,1,88,44,44,2
703,Gertrude Grandi,23809101,45,63,45,5,1,0,5,6,2,67,84,100,1
704,Noe Collins,58885055,8,1,41,4,2,1,4,4,4,63,75,81,4
705,Petra Rankin,3895324,36,25,56,4,3,3,3,3,3,65,70,73,4
706,Debra Pacheco,60102442,34,29,80,1,3,6,5,2,2,50,70,53,4
707,Kathleen Moneypenny,9735234,45,41,70,5,3,6,2,0,4,50,79,72,4
708,Patricia Kaminski,66016623,74,50,40,6,0,3,5,4,3,77,52,83,3
709,Helen Bennett,20050902,62,39,38,0,6,5,1,4,0,51,52,53,0
710,Violet Presley,48430518,61,61,41,4,1,7,3,6,4,61,40,62,5
711,Mark Springer,96266523,4,83,49,6,5,3,1,4,4,52,84,42,2
712,Fredrick Spueler,45940137,17,20,41,5,5,1,0,2,5,65,58,86,4
713,Tonya Richardson,55409518,41,55,41,6,1,3,7,3,3,46,76,65,4
714,Michelle David,87890947,5,74,41,5,4,7,6,0,3,67,71,60,3
715,Debra Merrifield,79855320,16,52,25,3,3,2,1,3,7,63,71,75,1
716,Peter White,62528139,31,58,14,4,5,4,4,6,4,66,91,91,1
717,Patricia Lahey,86653207,66,46,0,7,8,5,2,5,5,53,63,46,3
718,Eileen Headd,47758143,0,78,60,4,4,7,4,6,5,66,77,42,2
719,Beth Moreschi,5307264,0,69,30,9,6,9,1,3,3,57,64,65,3
720,Kimberly Austin,79240197,15,17,16,4,3,3,7,4,5,66,100,53,3
721,Steven Her,38805351,15,35,15,8,4,8,3,2,7,82,77,74,3
722,Lucia Tirey,85398426,35,47,28,2,5,7,5,2,1,100,75,46,1
723,Tom Massey,7281761,24,61,36,4,4,2,2,3,6,60,70,85,1
724,Lisa Fletcher,20832483,54,30,59,3,3,2,4,8,2,57,61,73,1
725,Jean Hollinger,88107332,16,29,18,4,2,1,4,4,4,93,60,57,0
726,Kimberly Quintanilla,38595066,56,22,35,5,2,6,3,4,3,46,57,62,5
727,Susan Berry,81308731,39,29,28,5,0,7,6,4,9,88,74,82,3
728,Alan Stroman,55269356,39,54,54,0,4,5,0,4,4,,55,67,4
729,Aletha Banerjee,74476414,12,55,60,7,2,5,1,6,2,67,64,100,3
730,Margie Baker,45006941,22,18,39,1,5,5,1,5,3,77,75,89,4
731,Marcus Pease,26265532,49,26,54,3,8,3,5,4,5,63,74,69,0
732,Matthew Sandstrom,40530122,28,39,12,3,4,4,8,0,8,80,84,62,3
733,Armando Mickey,87008338,78,65,42,5,3,5,8,6,5,34,50,67,5
734,Ivan Pritt,21080483,70,1,7,2,4,7,4,7,2,77,66,82,0
735,Vera Brewer,44791130,37,62,12,7,5,5,2,1,0,62,57,77,3
736,Man Russell,54884131,0,58,29,7,4,8,7,0,6,78,64,74,3
737,Ronald Matheny,64533328,41,57,3,7,2,7,0,3,0,74,62,76,5
738,Donald Fabela,50654621,46,21,52,3,6,4,3,4,4,83,89,86,4
739,Samuel Pruiett,86825063,87,10,60,4,8,,4,5,0,50,62,79,0
740,Gordon Stoute,75943262,38,51,30,2,4,3,4,5,3,77,71,67,1
741,Michael Mcguire,68125404,0,63,49,6,1,8,6,1,8,100,72,70,3
742,Christina Proctor,40542396,47,45,42,2,0,2,6,6,3,64,72,85,1
743,James Compton,10270,26,32,64,4,4,3,7,2,4,83,76,49,4
744,David Obryant,14778152,0,56,42,4,5,4,2,6,4,44,68,44,2
745,Edward Booth,27087451,21,60,53,2,4,4,2,5,3,72,55,78,5
746,Brian Madrid,67349743,17,57,42,6,6,1,6,2,4,,78,54,0
747,Brandon Mattox,5068000,36,46,0,1,2,0,1,3,5,79,55,38,0
748,Lara Peters,49479639,45,18,8,0,5,4,5,6,3,71,66,75,4
749,Mary Brookshire,99528812,3,14,85,4,1,9,1,1,2,35,71,60,4
750,Ronald Humes,83409223,52,67,16,2,4,6,3,3,5,53,75,46,3
751,Kenneth Perron,47685630,43,54,46,4,6,3,3,2,2,62,66,55,2
752,Julianne Rusher,50553487,12,24,40,3,6,4,5,4,5,72,64,64,1
753,Jerry Mccall,15819313,9,80,39,2,6,2,5,6,3,54,70,65,2
754,Pamela Thomas,44760382,73,42,0,9,2,7,3,5,2,52,67,70,5
755,Kirk Shelton,19633769,8,60,1,1,1,4,0,4,3,76,69,57,1
756,Richard Pendry,40861964,45,41,22,5,3,7,2,4,5,42,80,74,5
757,David Lovins,39499156,56,45,50,4,4,5,0,2,1,74,40,69,5
758,Edward Hodges,23102212,31,28,66,3,4,1,5,5,1,72,54,57,0
759,Everett Reveles,45923818,23,40,25,5,5,3,4,6,2,83,76,71,1
760,Cynthia Elwood,85472340,29,47,43,3,4,5,3,4,4,76,90,80,1
761,Ronnie Williams,22790912,25,17,34,1,3,9,3,5,2,86,79,63,4
762,Norma Hurtado,80368418,36,10,79,1,1,0,7,3,2,55,73,58,4
763,Karen Liston,92723117,33,41,19,2,6,2,1,8,1,95,57,64,1
764,Joyce Smith,69306145,18,49,15,4,3,4,5,3,4,65,84,60,3
765,Magdalena Felipe,47816650,56,24,41,2,4,5,0,5,3,52,54,44,5
766,Trisha Lively,97750451,80,69,12,6,2,6,4,10,5,52,59,62,5
767,Dante Galyean,12350917,82,71,65,4,7,1,4,4,0,73,62,56,2
768,Tony Bemis,22131418,49,7,24,2,4,4,4,7,4,73,49,67,0
769,Joshua Hansen,43678215,55,58,85,2,1,5,5,4,7,54,67,94,5
770,Marcus Haley,1602313,21,38,41,5,4,1,5,5,2,84,71,85,1
771,Agnes Horton,24723224,26,30,29,3,2,8,0,4,3,65,78,88,4
772,Micheal Mclean,56351000,29,60,10,6,4,4,4,5,2,53,68,73,5
773,Mary Hill,39571214,43,50,63,3,7,1,3,6,1,64,58,49,0
774,Allen Estrada,30304238,51,48,26,5,2,3,3,8,1,70,44,49,5
775,Charlie Sandoval,82580482,29,7,15,6,4,6,3,6,10,82,99,59,3
776,Joseph Hutchinson,9178442,12,20,55,4,5,0,5,9,1,78,62,89,1
777,Jerry Egan,48678721,17,28,2,6,4,6,8,2,9,89,76,50,3
778,Jamie Amick,63267262,78,58,63,1,3,0,7,6,3,68,99,77,4
779,Dorothy Bradley,96685412,57,30,24,2,6,3,1,6,3,77,58,58,0
780,Gene Brown,82440503,1,25,38,4,4,10,0,1,4,63,87,88,4
781,Dana Pope,1412274,96,43,44,5,7,1,5,4,1,71,68,83,2
782,Billy Dean,60510259,39,57,58,3,4,5,5,5,3,75,53,68,2
783,Brandy Coble,92382314,40,67,42,6,6,1,2,5,6,82,50,35,0
784,David Martin,76731750,20,52,39,7,3,8,4,4,8,79,62,81,3
785,Jordan Johnson,54915829,45,47,36,5,3,6,3,5,5,68,73,71,3
786,Edna Jackson,86815804,12,2,55,1,0,3,5,4,1,35,22,42,4
787,Brittany Zackery,90917988,86,30,29,8,1,9,2,4,3,45,61,63,5
788,Wendell Buckley,52924276,39,47,41,2,1,2,4,6,4,63,82,77,1
789,Clinton Andrews,62711848,49,55,38,4,3,2,2,10,0,54,56,74,1
790,Gene Daley,8360657,30,62,5,7,1,6,3,3,3,63,49,80,5
791,Martin Jones,2949944,29,68,61,6,0,5,5,6,0,58,57,80,3
792,Daniel Holmes,32516541,47,64,26,4,2,2,2,8,1,58,59,77,1
793,James Sleiman,77477366,47,9,39,4,3,4,3,3,4,48,69,71,5
794,Emilio Winder,75138678,69,71,84,3,6,4,2,4,2,57,58,62,4
795,Fred Garner,75062035,42,43,47,2,6,1,5,6,2,71,58,55,0
796,Shaun Avila,69659016,45,72,60,7,0,7,4,3,4,86,51,80,3
797,Kathryn Gerard,76578422,64,74,13,4,5,4,4,3,2,44,50,58,3
798,Russell Asato,9913644,14,34,44,1,6,3,0,7,3,80,67,74,1
799,Amber Chang,17246373,74,14,13,3,3,4,1,5,3,69,45,54,0
800,Jennifer Evans,16614639,47,63,25,2,4,0,4,5,4,37,72,94,2
801,Leslie Roden,4208627,6,27,7,6,3,5,5,1,2,86,83,75,3
802,Herbert Venable,46381544,20,46,63,3,6,8,2,4,1,65,74,74,4
803,Linda Wilcox,60246300,52,56,78,6,4,4,2,4,4,55,85,75,4
804,Sandra Howard,60474099,31,22,61,6,1,3,4,1,4,50,64,60,4
805,Candice Carn,59888879,36,37,28,3,6,0,5,7,2,60,56,60,5
806,Clara Wills,86816136,55,68,63,6,5,5,4,1,3,64,66,67,4
807,Myrtle Arthur,12867828,21,74,0,6,5,1,2,6,4,75,80,89,1
808,Kellie Gardea,32935245,48,19,32,3,5,3,5,4,3,67,67,64,0
809,Edward Cates,88990937,66,45,32,5,7,3,3,5,4,67,52,51,0
810,David Robin,44868543,59,43,41,1,5,2,3,5,2,56,58,67,2
811,Donald Peel,28984844,54,18,50,2,2,1,1,6,4,41,80,72,2
812,Dan Blight,32230255,32,49,40,3,4,1,2,6,5,33,91,69,2
813,Kristen Cramer,6550576,80,61,10,4,6,2,7,1,3,51,55,58,3
814,Elma Bell,52177723,42,34,28,5,3,2,3,6,4,77,55,57,0
815,Joseph Jolivette,74132634,63,68,50,3,4,1,2,3,2,47,69,56,2
816,Kathryn Long,65572462,25,50,13,9,2,10,0,1,3,55,100,100,5
817,Frank Richardson,7790411,81,73,57,5,2,6,4,8,10,53,52,67,3
818,Nancy Abel,7275606,25,43,58,5,8,3,2,11,0,72,68,79,1
819,Henry Radtke,94985571,9,24,21,2,4,8,0,3,3,59,60,78,4
820,James Vega,98688624,0,50,71,2,5,3,4,5,4,81,65,76,2
821,Frances Ashby,78056706,73,81,5,4,0,1,3,6,4,55,59,68,1
822,Liza Duncan,23938570,11,32,24,1,1,3,4,5,5,74,82,74,1
823,Randy Graham,44682928,74,18,33,4,5,5,2,5,2,53,48,61,0
824,Debra Todaro,44560364,69,35,38,3,7,6,4,6,5,62,42,57,0
825,Holly Deleon,81354164,22,47,38,5,2,0,3,4,4,72,71,74,1
826,Guy Sanchez,40662075,44,64,41,5,3,3,4,4,2,70,73,76,1
827,John Villa,74740977,21,37,15,6,5,3,7,0,3,89,79,60,3
828,Valeria Meagher,30879376,16,52,58,6,1,3,6,5,4,73,71,93,3
829,Karen Zawacki,75030979,49,69,22,7,6,2,4,5,4,75,73,74,1
830,Laura Perez,4037315,22,52,29,6,3,4,5,2,3,76,69,71,3
831,Anna Lumpkin,69131015,44,25,8,1,7,3,3,4,3,78,83,68,0
832,Nelda Timko,29200038,33,16,12,3,3,2,10,3,8,78,89,65,3
833,Jeanette Morrow,33266654,53,46,0,8,4,3,5,6,0,58,78,63,5
834,Annabelle Crockett,64641960,6,27,47,3,3,9,5,1,1,64,96,67,4
835,Joyce Hodge,56567161,77,12,23,3,7,6,5,4,4,56,65,75,0
