Unnamed: 0,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND
42,Barbara Tippetts,66382276,0,0,46,3,2,8,1,0,4,48,71,74
43,Marco Hesson,76733759,29,60,47,6,2,6,4,5,6,72,65,70
44,Richard Fernandez,67631535,72,68,50,3,4,1,8,9,3,62,22,51
45,Jim Gray,15450426,55,33,42,2,6,4,3,4,1,79,67,56
46,Kyle Dunham,44875158,32,43,30,1,4,1,0,7,5,73,35,46
47,Ruby Nason,30851711,41,64,37,4,4,6,3,5,2,57,53,57
48,Theresa Maggard,57067778,56,80,7,6,4,3,4,4,3,70,71,70
49,Dorothy Abel,95899953,47,20,9,3,4,2,3,4,4,78,60,57
50,Edna Marshall,61759632,24,32,36,2,1,3,0,6,5,37,68,54
51,Shirley Osborn,43756613,84,0,31,4,6,7,4,6,1,61,54,76
52,Henry Garcia,57426144,35,72,65,7,0,6,4,5,3,71,47,100
53,William Mendez,47355885,63,72,47,3,2,3,4,3,5,77,75,59
54,Herbert Wiggins,78519225,40,55,35,4,5,2,5,6,4,82,45,47
55,Sonia Atkins,14581398,28,40,61,2,3,3,2,6,4,53,59,60
56,David Schuler,75896623,33,27,27,1,5,7,3,4,2,57,69,79
57,Nathan Strickland,45076385,40,42,12,4,2,6,2,5,3,58,62,72
58,Eugene Wood,14132260,41,48,68,4,4,0,3,1,6,53,63,66
59,Sandra Burrell,50645917,0,74,64,4,4,3,3,6,4,66,71,58
60,David Gordon,69294381,24,42,11,6,6,5,7,2,4,65,63,64
61,Robin Bank,99628996,8,65,45,5,3,8,4,2,7,74,73,70
62,Bobby Mcbean,79185240,22,6,35,5,1,1,3,6,4,80,60,63
63,Ramon Soto,56306253,28,64,33,4,2,1,3,2,4,80,83,68
64,Donald Honeycutt,79022212,62,73,36,4,4,2,4,5,3,73,85,68
65,Stephen Allison,69707898,15,35,36,0,2,7,1,6,2,45,71,79
66,Lisa Hargrove,36905998,56,58,65,3,5,5,6,3,0,33,72,57
67,Larry Pridgen,87793494,52,78,29,4,3,6,3,7,6,50,69,75
68,Leslie Cole,98533154,34,32,64,3,4,2,7,3,6,71,81,81
69,Don Buran,54607853,36,20,26,2,8,5,0,3,1,37,81,9
70,Robert Smith,43099982,36,27,14,3,5,4,1,4,2,36,54,88
71,Mary Kenney,14578553,0,1,30,1,1,6,5,4,2,82,70,62
72,Manuel Ivy,7587861,33,32,64,3,4,5,2,5,2,87,60,56
73,David Lewis,88097701,51,43,28,5,2,7,1,5,3,53,68,71
74,Daniel Swann,62632492,0,34,15,0,3,2,1,5,2,89,66,72
75,Carol Mugleston,23843765,71,16,12,0,5,4,3,5,2,64,49,60
76,Irene Boggs,89531942,15,39,44,3,8,1,3,3,0,77,100,70
77,Leslie Simmons,54275081,19,18,39,8,1,6,1,6,5,91,87,85
78,Shane Duncklee,9326187,69,32,26,3,6,4,5,1,3,66,61,55
79,James Ragsdale,25680037,42,55,48,3,1,3,3,5,1,71,74,78
80,Edith King,80845092,52,43,34,2,6,4,4,4,2,62,52,55
82,Betsy Jackson,23238890,47,55,30,3,4,3,2,4,3,75,48,42
83,Stanley Myers,71474248,25,41,21,2,2,0,10,0,4,76,74,90
84,Charles Reyes,26694264,72,63,38,4,1,4,5,7,6,62,43,84
85,Marianna Sconiers,51893538,52,33,61,3,3,6,1,2,3,45,87,81
86,Abraham Collins,27657644,1,37,20,0,0,4,3,3,3,81,86,74
87,Jerry Soria,91195874,14,98,5,7,2,5,3,7,2,82,52,76
88,Brendon Lopez,17314324,40,19,57,1,2,4,2,3,3,60,77,73
90,Kenya Wright,51034935,65,11,22,2,3,4,0,3,0,56,46,61
91,Clyde Simmons,80166974,24,25,84,6,1,7,1,2,3,67,89,71
92,Frank Cooney,90564118,38,49,7,2,3,3,0,6,0,86,35,40
93,Michael Leland,19681944,0,14,29,2,4,2,5,7,1,67,57,76
94,Calvin Garcia,13699003,36,63,43,5,3,6,2,2,3,59,68,87
95,Thad Fox,63222594,19,53,69,3,2,4,2,7,3,50,64,50
96,Ray Johnson,375303,77,23,41,1,4,5,3,2,2,71,64,66
97,Eddie Chapman,43491728,97,0,33,3,3,5,6,4,4,51,43,69
98,James Ellis,2000781,51,52,34,4,1,0,5,8,3,50,63,88
99,David White,4946055,47,64,35,3,6,0,3,4,2,34,84,60
100,Benny Lesser,13219881,31,50,28,6,10,3,5,6,8,83,92,67
101,Timothy Munoz,46291975,15,3,77,2,0,5,3,3,3,43,84,60
102,Kathleen Kyle,96539078,29,28,26,3,4,4,4,4,2,50,58,76
103,Linda Graham,43218004,45,1,58,2,5,4,6,7,3,64,60,77
104,Kristy Haugh,61169196,37,38,41,2,5,6,2,4,3,76,76,82
105,Velma Holland,36472226,32,108,0,6,3,5,7,6,4,59,58,73
106,Pauline Avila,13367009,75,66,57,5,2,4,6,9,6,42,55,62
107,Ann Thorne,69253987,10,58,14,3,2,0,0,2,5,93,58,78
108,Benjamin Anderson,35141414,2,36,12,3,3,5,10,2,6,61,82,59
109,Pamela Haynesworth,42058234,6,5,0,9,6,5,4,1,5,90,83,79
110,Donna Lingo,69563939,36,3,12,0,7,4,1,6,2,78,64,86
111,Mary Farris,90119422,31,32,31,3,3,3,3,3,4,55,63,77
112,Victor Hopper,68020288,53,47,55,4,5,2,3,4,1,70,46,66
113,Shirley Tran,11755135,70,32,37,3,6,1,8,6,3,42,57,62
114,Myrtle Burke,82701039,49,69,11,5,3,4,5,8,4,58,68,71
115,Erich Stallings,43419710,30,33,55,4,0,4,5,5,7,87,84,88
116,Etta Sharp,61299102,35,69,66,4,3,3,5,5,5,72,69,76
117,Amber Higgins,76136001,33,25,55,4,4,6,2,5,4,65,57,39
118,Vernita Boyd,53869391,24,44,2,3,2,3,5,5,3,71,63,65
119,Jennifer Corey,33137228,39,28,53,1,5,1,4,4,5,49,69,83
120,Carol Walker,92906334,13,64,55,2,6,6,5,6,3,63,61,33
121,Christa Parker,37126702,65,52,52,2,5,4,6,5,2,67,72,67
122,Annie Edwards,21509467,39,46,29,5,7,4,4,5,4,58,85,58
123,Gordon Riddle,95392337,74,16,7,4,4,5,2,4,5,65,48,56
124,Erin Montgomery,58628153,47,46,3,6,1,7,4,8,4,49,50,49
125,Ruth Osborn,82225045,30,43,78,4,0,9,6,1,1,47,90,53
126,Ruby Stewart,78821795,46,51,28,4,5,4,2,10,0,70,45,63
127,Dolores Colon,62991784,53,49,31,7,2,7,2,7,2,58,72,54
128,Joseph Roberts,76543941,13,102,66,5,4,6,5,3,2,56,51,55
129,Nancy Fredricks,34264419,30,40,74,2,5,3,4,5,2,76,45,73
130,Erica Chavez,98382925,70,28,46,2,7,6,5,3,1,54,57,68
131,Marilyn Nitti,55608063,35,36,53,5,1,2,5,6,4,71,77,100
132,Paul Wood,83536986,10,21,53,3,3,3,6,6,1,82,93,84
133,Latonya Shelton,32970131,65,40,58,4,2,6,1,4,2,67,67,68
134,Gary Kitterman,98705796,14,59,37,6,4,7,4,4,4,68,69,57
135,Lora Florez,81200088,35,41,0,4,4,1,3,0,4,86,71,52
136,Helen Burch,87296741,40,59,42,3,7,0,5,0,4,71,73,41
137,Alfred Porter,75732528,63,57,56,5,3,1,4,3,5,58,65,72
139,Ericka Mesa,16528798,35,52,20,3,4,2,0,8,0,90,45,57
140,Jennifer Jamieson,81559828,21,33,33,4,5,2,3,6,4,85,73,61
141,Tasha Kruse,2347039,48,34,57,2,5,0,4,6,3,67,77,55
142,Ashley Slade,83185071,74,2,14,2,5,4,3,5,4,67,40,61
144,Eric Dilworth,68186849,70,35,37,7,3,4,3,2,0,66,46,73
145,Ronnie Poeppelman,6153244,1,19,27,0,3,5,4,4,2,77,53,55
146,Colleen Baldridge,40021413,68,46,50,1,5,7,4,4,1,70,97,78
147,Julia Woodward,95947401,0,47,2,4,6,5,7,0,6,70,88,63
148,Christina Crouch,77427539,30,29,39,5,4,1,4,1,3,52,58,71
149,Priscilla Barrett,98058186,29,45,27,6,3,7,1,3,4,60,74,96
150,Christopher Hernandez,23220145,23,21,0,5,3,4,0,4,1,70,54,67
151,Yolanda Fletcher,14402228,79,81,44,3,0,3,7,5,0,72,88,81
152,Barbara Williams,83930976,0,18,21,3,7,5,2,6,4,80,64,51
153,April Acker,69304325,49,37,72,2,4,2,4,5,1,75,66,71
154,Gary Clark,15769733,49,87,27,6,3,5,4,5,4,68,31,76
155,Hector Jones,44128220,30,45,29,6,4,1,0,3,1,75,66,54
156,George Carroll,63798189,62,39,50,0,6,3,1,5,3,57,34,47
157,Sharon Zanola,37538108,36,79,46,0,1,1,7,0,3,70,81,76
158,Renee Hood,60730176,13,39,35,3,4,4,1,5,4,66,70,66
159,Randy Spitzer,82151286,27,36,44,4,5,8,0,3,4,74,84,88
160,Ronnie Bowen,47990092,0,66,67,3,5,0,3,5,3,66,70,77
161,Clarence Freeman,51872827,42,68,37,5,2,6,6,1,5,76,58,64
162,Darrell Torres,85500867,70,85,47,1,0,1,3,2,5,64,87,72
163,Carla Eberhardt,94137960,10,23,41,4,1,7,6,3,2,61,68,57
164,Wanda Barks,9597705,12,41,18,7,2,4,0,0,6,53,59,88
165,Anthony Olney,49065020,15,48,51,9,4,9,2,5,7,79,62,82
166,Steven Gutierrez,1942378,51,44,16,5,3,2,5,1,1,72,73,77
167,Kristina Marceau,15891305,52,51,6,2,4,3,5,1,5,65,83,58
168,Lisa Perrigan,47530129,36,0,66,1,0,3,0,6,3,60,65,67
170,Charles Grundy,21368734,12,32,25,1,7,7,2,5,3,84,65,50
171,Luz Smith,74229442,59,23,44,2,6,6,3,4,1,60,55,67
172,Alex Scroggins,80074469,36,66,26,6,4,4,3,4,2,71,48,75
173,Chris Sanders,6320478,16,38,33,7,4,3,7,2,4,75,77,79
174,Kathryn Ray,42074668,21,63,32,4,4,3,8,1,5,66,56,92
175,Forrest Applebaum,98466378,24,18,39,2,5,2,2,4,4,54,59,78
176,Craig Styer,82030223,58,36,55,2,5,4,3,6,4,66,38,51
177,James Sonoski,20891305,57,75,48,7,8,5,2,3,0,56,69,6
178,Phyllis Reams,58149683,54,76,28,5,2,2,5,5,4,53,81,83
180,Kevin Pino,77546088,45,43,50,2,2,4,2,5,3,60,54,66
181,Laura Duncan,32667989,0,13,30,1,7,5,5,7,1,98,76,74
182,Monica Arnett,58513989,2,63,37,3,7,1,3,5,3,53,85,65
183,Deloris Tester,61063562,62,50,35,4,9,5,5,4,2,66,71,46
184,Iva Zuniga,42704433,50,68,26,6,2,6,5,7,2,56,47,46
185,Aimee Hogue,7412968,46,35,32,2,4,2,4,4,3,54,62,78
186,Larry Ortega,38893557,32,60,13,4,4,3,3,5,1,76,60,69
187,Glenn Williams,57340785,16,57,39,3,7,3,5,5,5,54,86,66
188,Doreen Jarrell,25982412,27,38,37,2,6,5,6,5,2,80,79,71
189,Parker Wagner,10531712,20,99,71,6,8,3,4,3,0,93,60,43
190,Gail Francis,31455559,82,25,20,4,10,4,5,3,1,82,71,66
191,Samantha Patel,83313766,35,20,40,4,0,5,3,5,9,100,100,76
192,Maria Shaw,22589182,51,39,31,2,1,0,9,1,3,76,76,100
193,Doug Pina,25102557,31,49,26,3,4,2,3,7,1,62,50,46
194,Joseph Mckee,81580862,23,5,22,1,2,1,3,6,4,76,62,80
195,Eva Murdock,58348048,31,31,55,1,6,2,1,4,0,55,68,43
196,Carol Manning,28134684,24,45,8,1,2,1,0,8,2,93,48,45
197,Catherine Mckenna,94003337,20,51,23,4,1,6,2,4,6,52,52,81
198,Kristen Brown,77391468,48,51,33,2,2,4,4,4,7,54,71,66
199,Julie Sheldon,23407596,44,53,30,7,2,9,1,2,4,58,80,98
200,Amy Scudder,66737140,62,12,11,7,3,8,0,4,2,35,84,61
201,Jeremy Buckley,30154725,1,52,33,3,5,4,4,6,6,66,87,70
202,Clara Hensley,27915652,55,55,46,4,8,2,4,4,4,65,61,52
203,Mary Dempsey,62652,14,0,53,0,3,5,3,6,2,65,36,66
204,Robert Moore,15564131,61,26,42,0,3,0,3,7,3,65,31,46
205,Bernice Velasquez,4113472,0,35,54,0,4,6,4,6,3,74,67,54
206,Joseph Gordon,10439641,19,99,63,3,3,0,6,6,4,56,64,91
207,Orlando Mott,50828093,22,51,36,5,4,6,4,2,6,79,79,74
208,Cleo Brewer,13489947,32,62,55,5,4,5,0,0,5,39,71,81
209,James Crawford,9249722,41,49,35,6,6,4,6,6,1,65,59,70
210,Margaret Brawner,96000500,35,59,56,1,1,4,6,7,8,56,79,80
211,Richard Neufeld,96310268,54,51,81,5,3,0,1,0,6,48,61,71
212,Rosie Harris,75771101,53,51,43,3,7,5,4,4,3,60,76,43
213,Terrance Smith,45108059,45,30,61,6,5,0,0,1,6,70,61,79
214,April Boring,82614014,6,49,56,2,6,0,1,3,3,38,72,77
215,Gordon Strand,9103240,19,42,22,6,1,2,8,1,2,79,62,98
216,Sabrina Hannah,96798150,78,44,32,3,7,1,3,4,2,42,88,55
217,Charles Garcia,36472758,30,98,45,3,3,5,5,6,4,62,40,77
218,Brittney Whipps,90517577,0,63,24,6,4,9,4,2,5,74,72,54
219,Janell Ortega,23248212,31,77,21,4,4,7,2,2,4,71,99,64
220,Penny Fries,25221982,29,27,0,2,2,0,0,4,3,83,69,50
221,Virginia Mcpeake,84374007,49,45,0,4,3,2,0,8,6,87,49,43
222,Sandra Holdman,16357338,45,24,43,2,4,5,2,8,1,76,45,66
224,Charles Whittingham,15152177,0,14,29,2,5,2,3,5,4,82,69,79
225,James Stephens,86227169,47,55,22,8,1,8,2,3,4,64,75,96
226,William Reed,33043273,62,77,62,7,7,3,0,3,4,65,66,85
227,Amy Wiley,61289146,41,48,0,6,2,8,1,5,3,59,73,80
228,Marilu Meza,5505642,54,66,10,2,0,3,7,2,6,61,73,75
229,Chadwick Burton,59977121,32,0,28,0,4,8,1,7,1,57,81,84
230,Steven Robinson,2394579,78,84,32,5,0,0,0,6,3,53,59,70
231,Randal Cantrell,86224586,28,34,54,3,4,0,0,5,4,45,79,67
232,Jennifer Fox,45806895,32,68,34,3,6,3,4,4,3,62,85,62
233,Jamie Brown,29816981,43,34,27,2,7,3,3,5,3,77,63,56
234,Stephen Howard,66401165,19,45,36,9,4,7,3,5,5,76,61,82
235,Loretta Ross,78433644,26,15,43,3,2,8,4,4,2,95,90,64
236,John Mcfadden,92453575,88,24,52,3,7,5,4,4,1,50,56,61
237,Keith Parker,33562601,45,37,20,5,2,5,2,3,2,60,49,68
238,Bruce Hudson,14135712,37,84,7,5,3,4,1,5,1,63,76,64
239,Emily Herrmann,371025,66,18,47,3,7,6,3,5,2,60,55,64
240,David Propps,36126522,58,58,6,9,2,7,5,5,3,52,77,79
241,Louis Crabtree,96379560,36,56,51,5,1,7,5,4,7,83,75,60
242,Joleen Gingerich,33849016,50,46,35,6,6,3,1,3,5,40,96,38
243,Timothy Pry,45890776,19,41,50,3,3,3,2,7,4,49,78,56
244,Carlos Smith,21798440,56,95,46,7,2,8,3,8,3,64,68,76
245,Calvin Guido,46168980,70,41,2,5,8,6,3,2,4,68,75,63
246,Bradley Bennett,28619531,2,8,24,3,3,9,0,2,3,58,61,83
247,Michael Sutherland,22714883,59,3,60,3,1,2,0,5,3,47,71,62
248,Marian Johnson,50511868,65,25,50,2,6,3,4,5,2,54,60,58
249,Joann Thompson,33792768,53,41,8,6,3,4,4,6,1,53,59,60
250,Kimberly Martin,2489063,0,44,16,1,7,5,1,5,1,100,89,72
251,Lawrence Terrell,14529032,0,74,64,4,4,2,4,7,5,62,79,75
252,Teresa Harris,93170573,68,78,2,3,0,2,4,1,3,63,42,43
253,Eric Escarcega,82293383,0,11,43,3,1,8,4,1,2,63,72,58
254,Margaret Wehausen,73649930,56,77,32,5,4,6,6,5,4,42,59,74
255,Josefina Lewis,38814946,52,38,48,4,6,5,6,6,4,64,75,85
256,William Wade,48763286,7,47,33,3,6,0,3,6,2,85,86,54
257,Maria Deslauriers,29214719,28,39,22,6,5,6,6,2,7,78,70,67
258,Marie Davidson,22745717,80,16,14,4,7,6,3,4,4,59,59,69
259,Laura Thomas,64449374,23,21,55,2,5,2,2,6,3,62,79,70
260,Thomas Ford,17060870,53,80,10,2,3,4,3,2,6,68,68,65
261,Maggie Stenger,10045671,55,79,42,5,4,5,4,5,4,61,48,73
262,Lillian Pagan,28622977,47,15,25,3,4,2,3,5,1,68,67,63
263,James Prior,4249683,36,69,26,3,8,0,3,5,3,23,90,57
264,Jennifer Coplin,13342476,63,26,53,2,4,3,2,6,3,60,41,52
265,Jacqueline Lavigne,25662507,51,57,50,1,2,4,2,4,6,57,78,73
266,John Keisel,34820724,26,58,34,5,1,5,7,4,5,64,63,75
267,Patrick Lane,21353415,17,39,43,3,4,4,4,7,6,67,76,84
268,Ruth Pryor,19894391,57,19,28,3,4,4,5,6,3,76,59,62
269,William Mccloskey,48263462,51,56,60,5,4,3,6,7,0,69,66,77
270,Lisa Brown,41477785,0,52,3,1,1,0,1,1,2,93,81,45
271,Michael Vue,19075793,62,39,69,3,5,0,5,4,4,70,84,74
272,Sandra Grap,84830027,26,55,14,4,4,3,4,6,1,87,83,73
273,Pete Maxwell,49641544,22,88,30,3,7,1,3,6,4,85,75,42
274,Brian Mckie,98247155,26,66,32,4,3,2,2,1,6,70,85,79
275,Mary Voris,18328949,7,91,70,5,1,7,6,3,5,71,69,56
276,Tara Apple,63814770,41,63,81,5,2,3,7,4,1,33,43,35
277,Sabrina Blackman,33848164,18,49,59,3,4,5,3,6,3,61,75,45
278,David Griffin,11724454,65,10,35,4,7,5,3,5,3,60,68,72
279,Nicholas Bridgman,86160071,12,17,44,1,2,5,3,4,1,75,54,54
280,Jeremy Sanders,12302058,87,15,20,1,8,4,6,1,3,49,63,64
281,Paul Eckhardt,62714733,46,37,62,3,3,8,4,4,2,65,98,79
282,Glenn Wright,49231522,9,48,14,1,3,3,3,3,3,85,80,64
283,Robert Wolford,33104515,33,72,30,3,8,1,6,4,2,70,79,80
284,Janet Murphy,99374343,72,28,1,6,3,6,2,7,3,54,73,63
285,Ranae Pelton,23047816,3,4,33,1,3,8,2,4,1,61,55,70
286,Myrtle Northup,10436030,48,62,55,6,3,1,3,9,0,65,64,86
287,Ronald Lipscomb,45993346,63,52,67,4,5,4,2,2,2,85,59,51
288,Myron Thompson,71303052,51,34,34,5,4,3,1,4,0,71,68,70
289,Bill Gomez,73385313,74,49,31,5,5,2,3,3,3,68,69,78
290,Tommy Gee,52754958,8,46,43,8,4,12,0,3,9,84,76,94
291,Lauren Mills,1415282,0,87,62,2,0,9,4,1,5,88,87,66
292,Theodore Ellis,96354854,36,42,12,4,4,4,7,2,7,70,76,70
293,Traci Morales,41827708,13,58,45,7,1,9,5,2,8,84,61,84
294,Betty Wilson,40965625,16,58,0,5,4,4,3,7,1,63,62,65
295,Lara John,41069030,116,12,39,2,10,5,6,3,3,36,49,66
296,Michael George,73777333,4,3,40,4,6,4,0,0,0,57,80,75
297,Jerry Charles,1974535,30,69,35,4,4,2,3,5,0,77,38,67
298,Kandra Ferguson,45646425,63,48,46,0,5,3,3,8,1,59,63,79
299,Josefine Mccoach,79276639,0,81,57,2,2,4,9,1,7,66,80,80
300,Ashley Jackson,28120518,32,52,63,4,5,4,1,3,1,69,62,39
301,Terrence Bayer,33330645,56,37,44,1,3,1,4,5,2,56,53,52
302,Lindsey Williams,85957538,44,68,24,2,1,2,1,6,3,69,70,74
303,Doris Zabel,38221946,13,38,32,1,5,4,2,4,2,60,60,47
304,Kathleen Bondy,16369142,22,61,19,5,4,7,3,0,4,78,72,62
305,Judy Hor,1782828,14,8,45,2,1,6,5,2,2,61,68,55
306,Deangelo Pancoast,76245621,23,58,25,2,3,7,1,2,4,81,80,57
307,Ronald Bigham,60157912,21,31,45,3,2,2,0,8,3,82,45,56
308,Mary Scott,1841687,71,54,3,6,7,5,3,6,6,77,56,47
309,Jeanine Jamison,35041441,43,41,50,1,3,6,3,3,2,41,46,64
310,Dianne Smith,33187616,28,35,51,3,5,5,2,4,3,60,72,40
311,Addie Fortman,43444039,25,44,45,5,2,4,1,2,4,40,70,78
312,Ronald Stewart,95308560,72,6,56,2,6,6,6,6,4,57,48,75
313,Richard Rider,42884310,87,98,37,6,1,2,4,7,0,52,78,80
314,Stewart Leach,62871062,38,57,44,6,5,5,2,7,2,77,56,58
315,Jim Quintanilla,73696177,18,33,46,4,4,3,2,6,3,70,60,70
316,Charles Sands,29929474,45,70,63,6,4,3,3,5,5,58,81,60
317,Robert Lucas,12498526,49,70,16,5,3,4,4,6,3,67,61,80
318,Rosa Perez,44058032,49,50,64,3,3,4,4,4,5,58,40,78
319,Bobbie Lagrimas,82178961,62,62,53,4,2,5,3,6,5,65,43,83
320,Stacie Sills,33537853,25,65,5,3,3,2,2,6,3,66,72,76
321,William Poteete,93996408,34,27,26,2,6,6,3,5,2,80,88,89
322,Rhonda Rock,13199825,35,91,65,5,2,4,7,3,3,58,46,85
323,Marian Johnson,89541842,65,47,33,5,1,8,0,4,4,54,55,69
324,Merilyn Donahue,42064957,64,53,26,3,8,0,3,4,1,45,96,73
325,Linda Berry,42621639,15,40,27,8,4,3,5,0,2,95,70,79
326,Flora Hampton,54165927,26,24,12,7,5,7,3,6,8,65,83,70
327,Lucy Weisgerber,36296646,12,26,12,2,5,2,4,6,3,57,63,87
328,Karen Whitworth,34247181,77,6,22,1,4,3,3,5,3,54,74,76
329,Elliot Mckay,81308683,35,39,17,5,2,6,5,1,6,80,75,84
330,Mark Murguia,91331925,46,44,55,4,0,0,9,6,2,54,84,97
331,Gabriel Schlesser,31631958,35,40,88,0,3,0,1,4,2,86,25,76
332,Marina Sedlacek,4100585,38,48,79,4,3,8,1,3,4,50,90,74
333,Renee Peters,15829567,67,35,0,2,6,2,3,4,5,67,66,56
334,Betty Tollerud,34036987,44,47,64,3,6,3,6,6,3,70,74,70
335,Frieda Matthews,85780443,20,46,45,4,6,6,3,4,2,84,84,64
336,Bradley Koenig,12249648,48,81,14,5,2,1,4,3,3,71,76,74
337,Agustina Reed,64401548,41,45,80,3,2,6,2,2,3,40,58,58
338,Veronica Warren,65249847,11,45,26,2,2,3,6,1,3,85,83,69
339,Veronica Gonzales,48825054,41,28,50,4,4,4,8,8,0,82,68,74
340,Lewis Teichmann,52726929,13,86,31,5,5,0,4,6,3,97,74,42
341,Steven Sims,56615296,69,70,51,3,8,2,4,3,3,43,72,85
342,Leslie Ferraro,99615687,8,5,4,9,4,7,4,2,7,100,87,66
343,Alice Sanders,88757223,34,39,65,3,6,1,4,3,1,69,66,80
344,Bernard Krol,90995940,17,39,33,3,2,1,3,4,6,62,76,88
345,Shirley Gabel,25549655,22,27,78,4,0,0,0,7,5,48,78,73
347,Bill Livingston,55958159,36,78,56,3,2,4,7,4,5,58,66,65
348,Sheryl Williams,65407146,53,41,22,4,2,7,3,4,8,72,69,88
349,Thomas Conway,16732773,11,52,17,3,3,3,2,4,2,78,67,62
350,Natasha Tanner,84053166,16,46,27,0,3,5,4,2,4,100,95,64
351,Lora Sholders,49270220,45,61,23,3,2,4,3,2,6,66,78,65
352,Amy Rodriquez,50997241,47,38,6,6,4,4,4,4,1,62,55,59
353,Michael Hansen,11902829,39,31,29,3,6,4,2,5,4,41,71,46
354,Lori Mcmorris,51388756,0,64,63,4,6,5,3,5,4,61,68,43
355,Inez King,34848123,16,43,31,1,2,4,4,1,7,65,69,67
356,Erica Richey,24225429,39,86,40,3,1,5,6,3,1,58,52,63
357,Terry Yamasaki,6507865,64,35,39,8,4,4,1,3,1,74,74,83
358,Bruce Gubler,41035982,53,42,14,5,1,0,2,10,3,56,47,86
359,Flora Hargrove,21311932,0,38,9,2,3,2,2,5,4,82,79,78
